date,asymmetry_pct_avg,asymmetry_pct_min,asymmetry_pct_max,count
2024-04-19,0.006666666666666667,0.0,0.11,24
2024-04-20,0.02888888888888889,0.0,0.1,9
2024-04-21,0.0018181818181818182,0.0,0.02,11
2024-04-22,0.039714285714285716,0.0,0.79,35
2024-04-23,0.05825,0.0,0.77,40
2024-04-24,0.024333333333333332,0.0,0.2,30
2024-04-25,0.02,0.0,0.17,22
2024-04-26,0.04111111111111111,0.0,0.38,18
2024-04-27,0.0,0.0,0.0,7
2024-04-28,0.011363636363636364,0.0,0.09,22
2024-04-29,0.003529411764705882,0.0,0.04,17
2024-04-30,0.02,0.0,0.2,25
2024-05-01,0.0128,0.0,0.11,50
2024-05-02,0.009142857142857144,0.0,0.12,35
2024-05-03,0.014893617021276595,0.0,0.25,47
2024-05-04,0.002727272727272727,0.0,0.02,11
2024-05-05,0.035,0.0,0.3,38
2024-05-06,0.020857142857142855,0.0,0.4,35
2024-05-07,0.0045,0.0,0.08,40
2024-05-08,0.015000000000000001,0.0,0.15,30
2024-05-09,0.0128,0.0,0.07,25
2024-05-10,0.013333333333333334,0.0,0.09,12
2024-05-11,0.006296296296296296,0.0,0.07,27
2024-05-12,0.021060606060606057,0.0,0.6,66
2024-05-13,0.008571428571428572,0.0,0.07,21
2024-05-14,0.015714285714285715,0.0,0.08,21
2024-05-15,0.012608695652173912,0.0,0.15,23
2024-05-16,0.015,0.0,0.1,20
2024-05-17,0.031363636363636364,0.0,0.17,22
2024-05-18,0.00607843137254902,0.0,0.09,51
2024-05-19,0.0,0.0,0.0,14
2024-05-20,0.0,0.0,0.0,1
2024-05-21,0.0033333333333333335,0.0,0.06,30
2024-05-22,0.007567567567567568,0.0,0.1,37
2024-05-23,0.02780487804878049,0.0,0.64,41
2024-05-24,0.007647058823529412,0.0,0.11,85
2024-05-25,0.013333333333333334,0.0,0.07,36
2024-05-26,0.005357142857142857,0.0,0.13,28
2024-05-27,0.02,0.0,0.25,52
2024-05-28,0.0045945945945945945,0.0,0.05,37
2024-05-29,0.006031746031746032,0.0,0.13,63
2024-05-30,0.025384615384615387,0.0,0.2,26
2024-05-31,0.02431372549019608,0.0,0.43,51
2024-06-01,0.024615384615384615,0.0,0.32,39
2024-06-02,0.013506493506493506,0.0,0.2,77
2024-06-03,0.018805970149253733,0.0,0.13,67
2024-06-04,0.041875,0.0,0.53,48
2024-06-05,0.025285714285714286,0.0,0.5,70
2024-06-06,0.02594936708860759,0.0,0.36,79
2024-06-07,0.03461538461538462,0.0,0.24,13
2024-06-08,0.026511627906976743,0.0,0.18,43
2024-06-09,0.0304,0.0,0.4,50
2024-06-10,0.0221875,0.0,0.32,32
2024-06-11,0.015652173913043476,0.0,0.08,23
2024-06-12,0.02,0.0,0.12,23
2024-06-13,0.013000000000000001,0.0,0.08,30
2024-06-14,0.010869565217391304,0.0,0.06,23
2024-06-15,0.022,0.0,0.18,45
2024-06-16,0.015238095238095238,0.0,0.14,21
2024-06-17,0.0782608695652174,0.0,0.68,23
2024-06-18,0.05931034482758621,0.0,0.26,29
2024-06-19,0.05037037037037037,0.0,0.64,27
2024-06-20,0.022058823529411766,0.0,0.25,34
2024-06-21,0.018333333333333333,0.0,0.13,24
2024-06-22,0.11333333333333334,0.0,0.28,3
2024-06-23,0.058095238095238096,0.0,0.28,21
2024-06-24,0.028620689655172414,0.0,0.37,29
2024-06-25,0.051875000000000004,0.0,0.4,32
2024-06-26,0.014615384615384615,0.0,0.11,26
2024-06-27,0.0371875,0.0,0.33,32
2024-06-28,0.16076923076923075,0.0,0.73,26
2024-06-29,0.018260869565217393,0.0,0.1,23
2024-06-30,0.030000000000000002,0.0,0.14,18
2024-07-01,0.0208,0.0,0.42,25
2024-07-02,0.006153846153846154,0.0,0.05,26
2024-07-03,0.012692307692307694,0.0,0.07,26
2024-07-04,0.013846153846153845,0.0,0.15,26
2024-07-05,0.022857142857142857,0.0,0.27,42
2024-07-06,0.04181818181818182,0.0,0.24,22
2024-07-07,0.03,0.0,0.11,12
2024-07-08,0.001724137931034483,0.0,0.03,29
2024-07-09,0.07446808510638298,0.0,0.9,47
2024-07-10,0.02666666666666667,0.0,0.27,30
2024-07-11,0.002307692307692308,0.0,0.05,26
2024-07-12,0.04066666666666666,0.0,0.14,15
2024-07-13,0.04461538461538461,0.0,0.12,13
2024-07-14,0.014,0.0,0.06,15
2024-07-15,0.0033333333333333335,0.0,0.07,21
2024-07-16,0.021052631578947368,0.0,0.18,19
2024-07-17,0.021428571428571432,0.0,0.08,7
2024-07-18,0.019285714285714288,0.0,0.1,14
2024-07-19,0.0,0.0,0.0,5
2024-07-20,0.0053125,0.0,0.13,32
2024-07-21,0.048214285714285716,0.0,0.33,28
2024-07-22,0.014054054054054054,0.0,0.4,37
2024-07-23,0.008,0.0,0.09,30
2024-07-24,0.03789473684210526,0.0,0.31,19
2024-07-25,0.012499999999999999,0.0,0.11,24
2024-07-26,0.02107142857142857,0.0,0.3,28
2024-07-27,0.01846153846153846,0.0,0.09,13
2024-07-28,0.014285714285714285,0.0,0.13,21
2024-07-29,0.014705882352941176,0.0,0.2,17
2024-07-30,0.018000000000000002,0.0,0.17,20
2024-07-31,0.018125000000000002,0.0,0.08,16
2024-08-01,0.016296296296296295,0.0,0.17,27
2024-08-02,0.009600000000000001,0.0,0.08,25
2024-08-03,0.00823529411764706,0.0,0.09,17
2024-08-04,0.009047619047619047,0.0,0.1,21
2024-08-05,0.019444444444444445,0.0,0.13,18
2024-08-06,0.010465116279069767,0.0,0.09,43
2024-08-07,0.02,0.0,0.2,25
2024-08-08,0.016388888888888887,0.0,0.1,36
2024-08-09,0.006296296296296296,0.0,0.09,27
2024-08-10,0.005087719298245614,0.0,0.07,57
2024-08-11,0.017804878048780486,0.0,0.17,41
2024-08-12,0.025500000000000002,0.0,0.25,40
2024-08-13,0.030444444444444448,0.0,0.31,45
2024-08-14,0.02225806451612903,0.0,0.18,31
2024-08-15,0.05444444444444444,0.0,0.33,27
2024-08-16,0.026071428571428572,0.0,0.45,28
2024-08-17,0.009130434782608696,0.0,0.05,23
2024-08-18,0.024444444444444446,0.0,0.33,27
2024-08-19,0.024666666666666667,0.0,0.13,30
2024-08-20,0.01,0.0,0.07,28
2024-08-21,0.005833333333333333,0.0,0.09,36
2024-08-22,0.006363636363636364,0.0,0.05,22
2024-08-23,0.009166666666666667,0.0,0.08,12
2024-08-24,0.022857142857142857,0.0,0.17,14
2024-08-25,0.026000000000000002,0.0,0.09,10
2024-08-26,0.05466666666666667,0.0,0.54,15
2024-08-27,0.013529411764705884,0.0,0.16,17
2024-08-28,0.0276,0.0,0.25,25
2024-08-29,0.016944444444444443,0.0,0.13,36
2024-08-30,0.016,0.0,0.13,35
2024-08-31,0.017692307692307695,0.0,0.08,13
2024-09-01,0.015714285714285715,0.0,0.09,7
2024-09-02,0.02488888888888889,0.0,0.44,45
2024-09-03,0.008571428571428572,0.0,0.13,21
2024-09-04,0.007333333333333333,0.0,0.08,30
2024-09-05,0.013928571428571429,0.0,0.21,28
2024-09-06,0.004687500000000001,0.0,0.14,32
2024-09-07,0.009310344827586208,0.0,0.1,29
2024-09-08,0.026250000000000002,0.0,0.1,8
2024-09-09,0.0125,0.0,0.08,28
2024-09-10,0.004222222222222223,0.0,0.08,45
2024-09-11,0.039999999999999994,0.0,0.17,29
2024-09-12,0.027857142857142858,0.0,0.46,28
2024-09-13,0.046400000000000004,0.0,0.2,25
2024-09-14,0.06055555555555556,0.0,0.27,18
2024-09-15,0.0,0.0,0.0,1
2024-09-16,0.00425531914893617,0.0,0.1,47
2024-09-17,0.02666666666666667,0.0,0.09,12
2024-09-18,0.011000000000000001,0.0,0.09,30
2024-09-19,0.028000000000000004,0.0,0.33,30
2024-09-20,0.012222222222222223,0.0,0.08,18
2024-09-21,0.01,0.0,0.05,11
2024-09-22,0.011333333333333334,0.0,0.14,15
2024-09-23,0.09878048780487804,0.0,0.69,41
2024-09-24,0.012499999999999999,0.0,0.13,28
2024-09-25,0.011764705882352941,0.0,0.13,17
2024-09-26,0.0205,0.0,0.1,20
2024-09-27,0.014166666666666668,0.0,0.17,36
2024-09-28,0.004230769230769231,0.0,0.03,26
2024-09-29,0.04041666666666666,0.0,0.43,48
2024-09-30,0.014324324324324325,0.0,0.17,37
2024-10-01,0.008823529411764706,0.0,0.07,17
2024-10-02,0.0,0.0,0.0,1
2024-10-03,0.010545454545454547,0.0,0.14,55
