date,steps
2024-08-15,15066.0
2024-08-16,15888.0
2024-08-17,16011.0
2024-08-18,17464.0
2024-08-19,17083.0
2024-08-20,19605.0
2024-08-21,19010.0
2024-08-22,13701.0
2024-08-23,11492.0
2024-08-24,6242.0
2024-08-25,7539.0
2024-08-26,15646.0
2024-08-27,9121.0
2024-08-28,14166.0
2024-08-29,20168.0
2024-08-30,23029.0
2024-08-31,12374.0
2024-09-01,7878.0
2024-09-02,19462.0
2024-09-03,10059.0
2024-09-04,17307.0
2024-09-05,18841.0
2024-09-06,19073.0
2024-09-07,21649.0
2024-09-08,6571.0
2024-09-09,17838.0
2024-09-10,30600.0
2024-09-11,15131.0
2024-09-12,17445.0
2024-09-13,13932.0
2024-09-14,16050.0
2024-09-15,1980.0
2024-09-16,33817.0
2024-09-17,11764.0
2024-09-18,17002.0
2024-09-19,16726.0
2024-09-20,11186.0
2024-09-21,8922.0
2024-09-22,12923.0
2024-09-23,16272.0
2024-09-24,16348.0
2024-09-25,10112.0
2024-09-26,17224.0
2024-09-27,14351.0
2024-09-28,14102.0
2024-09-29,32353.0
2024-09-30,22073.0
2024-10-01,11491.0
2024-10-02,3996.0
2024-10-03,39342.0
2024-10-04,23004.0
2024-10-05,17338.0
2024-10-06,9956.0
2024-10-07,259.0
2024-10-08,13667.0
2024-10-09,15433.0
2024-10-10,19200.0
2024-10-11,19761.0
2024-10-12,10558.0
2024-10-13,7952.0
2024-10-14,18219.0
2024-10-15,15041.0
2024-10-16,24251.0
2024-10-17,15545.0
2024-10-18,9418.0
2024-10-19,8421.0
2024-10-20,6457.0
2024-10-21,7807.0
2024-10-22,13744.0
2024-10-23,8138.0
2024-10-24,13460.0
2024-10-25,26758.0
2024-10-26,17785.0
2024-10-27,6834.0
2024-10-28,12022.0
2024-10-29,9609.0
2024-10-30,8973.0
2024-10-31,7083.0
2024-11-01,12491.0
2024-11-02,9648.0
2024-11-03,10972.0
2024-11-04,16094.0
2024-11-05,28181.0
2024-11-06,11217.0
2024-11-07,7404.0
2024-11-08,10319.0
2024-11-09,8883.0
2024-11-10,19135.0
2024-11-11,14827.0
2024-11-12,6390.0
2024-11-13,10124.0
2024-11-14,16595.0
2024-11-15,6441.0
2024-11-16,8876.0
2024-11-17,13386.0
2024-11-18,17462.0
2024-11-19,12901.0
2024-11-20,23221.0
2024-11-21,16188.0
2024-11-22,22567.0
2024-11-23,16872.0
2024-11-24,31305.0
2024-11-25,23628.0
2024-11-26,17297.0
2024-11-27,9653.0
2024-11-28,10830.0
2024-11-29,13699.0
2024-11-30,21824.0
2024-12-01,11147.0
2024-12-02,13096.0
2024-12-03,21009.0
2024-12-04,21534.0
2024-12-05,19818.0
2024-12-06,8731.0
2024-12-07,16931.0
2024-12-08,6524.0
2024-12-09,22967.0
2024-12-10,13447.0
2024-12-11,14840.0
2024-12-12,11621.0
2024-12-13,10712.0
2024-12-14,58373.0
2024-12-15,9661.0
2024-12-16,15992.0
2024-12-17,17948.0
2024-12-18,9195.0
2024-12-19,16235.0
2024-12-20,22923.0
2024-12-21,53286.0
2024-12-22,6935.0
2024-12-23,12913.0
2024-12-24,12470.0
2024-12-25,10914.0
2024-12-26,6009.0
2024-12-27,9760.0
2024-12-28,28605.0
2024-12-29,15336.0
2024-12-30,7708.0
2024-12-31,7703.0
2025-01-01,10280.0
2025-01-02,13443.0
2025-01-03,8094.0
2025-01-04,9899.0
2025-01-05,30638.0
2025-01-06,13573.0
2025-01-07,6529.0
2025-01-08,13294.0
2025-01-09,13223.0
2025-01-10,17160.0
2025-01-11,7290.0
2025-01-12,15498.0
2025-01-13,16466.0
2025-01-14,14588.0
2025-01-15,15301.0
2025-01-16,8970.0
2025-01-17,12603.0
2025-01-18,8980.0
2025-01-19,7342.0
2025-01-20,21491.0
2025-01-21,9258.0
2025-01-22,11414.0
2025-01-23,9402.0
2025-01-24,17717.0
2025-01-25,9312.0
2025-01-26,10834.0
2025-01-27,1864.0
2025-01-28,8863.0
2025-01-29,14457.0
2025-01-30,3056.0
2025-01-31,35974.0
2025-02-01,30422.0
2025-02-02,1012.0
2025-02-03,13892.0
2025-02-04,10385.0
2025-02-05,15496.0
2025-02-06,7275.0
2025-02-07,7782.0
2025-02-08,14344.0
2025-02-09,7017.0
2025-02-10,17408.0
2025-02-11,10356.0
2025-02-12,14188.0
2025-02-13,9631.0
2025-02-14,15159.0
2025-02-15,6916.0
2025-02-16,15895.0
2025-02-17,12901.0
2025-02-18,10682.0
2025-02-19,15386.0
2025-02-20,11469.0
2025-02-21,15041.0
2025-02-22,8958.0
2025-02-23,13571.0
2025-02-24,14947.0
2025-02-25,17156.0
2025-02-26,15917.0
2025-02-27,15170.0
2025-02-28,11141.0
2025-03-01,14435.0
2025-03-02,41872.0
2025-03-03,13962.0
2025-03-04,17698.0
2025-03-05,16556.0
2025-03-06,35580.0
2025-03-07,24837.0
2025-03-08,35851.0
2025-03-09,9365.0
2025-03-10,15236.0
2025-03-11,20650.0
2025-03-12,19678.0
2025-03-13,17890.0
2025-03-14,15069.0
2025-03-15,8977.0
2025-03-16,16633.0
2025-03-17,11707.0
2025-03-18,11945.0
2025-03-19,22262.0
2025-03-20,19206.0
2025-03-21,16398.0
2025-03-22,20843.0
2025-03-23,25468.0
2025-03-24,14982.0
2025-03-25,18456.0
2025-03-26,16399.0
2025-03-27,34617.0
2025-03-28,14292.0
2025-03-29,14138.0
2025-03-30,13636.0
2025-03-31,20937.0
2025-04-01,23733.0
2025-04-02,21468.0
2025-04-03,18196.0
2025-04-04,33225.0
2025-04-05,40184.0
2025-04-06,12939.0
2025-04-07,13237.0
2025-04-08,21183.0
2025-04-09,24232.0
2025-04-10,22296.0
2025-04-11,21146.0
2025-04-12,7905.0
2025-04-13,7750.0
2025-04-14,21922.0
2025-04-15,20730.0
2025-04-16,21346.0
2025-04-17,23966.0
2025-04-18,15884.0
2025-04-19,36152.0
